"","corr","elap","fit","varE"
"RK",0.568287982881915,121.860000000001,3507.33098927557,0.515459327675991
"BRR",0.581932001734714,209.653999999995,3490.42095325409,0.505157078722858
"BL",0.584568136659502,210,3517.57295566178,0.506368972996588
"BA",0.605164854057873,218.028999999995,3504.98509963501,0.507046257524101
"BB",0.792595456616698,226.262000000002,3539.42080958567,0.523905254088205
"EN",0.505836170516157,805,NA,0.4994
